bugId,description,severity
86743,Register view shows the same as Variables view in CVS HEAD,major
91889,top frame not selected when monitor added to stack,major
177303,[launching] ContextLaunchingResourceManager slows down structured selection changes and part activations,major
179685,JREContainerInitializer average initialization time,minor
180496,Use the new ClasspathContainerInitializer API for the JRE,major
313922,"empty 'Plug-in Dependencies' after checking out ""org.eclipse.jdt.apt.core""",major
1580,Run in Package dialog should select the current context (1GE32AE),minor
1613,Debugger VM launching error never displayed (1GETDGZ),minor
1628,README: packages appear when doing eval (1GEYFPN),major
1660,Do not prompt for source when no source attachment,minor
1738,Can't set scrapbook package to package in prereq project (1GKZ25D),minor
1744,Display in snippet opens temporary file (1GL0HES),minor
1751,Console misses style range for quick output (1GL4R1L),major
5225,1.0 -- Casting problem in RunToLineAction class,major
5346,Debugger silently fails to prompt for source,minor
5556,Walkback when workspace opened,minor
5612,"Evaluation is performed in wrong ""receiver"" context",minor
5640,NPE launching when Java build path refs a missing project,minor
5780,Unable to create display view,major
6109,NPE stopping Timer,major
6349,NPE closing inspector,minor
6489,Plugin version numbers incorrect,minor
6501,src.jar not found 1.4 by default,minor
6518,Internal error while doing evaluation,major
6577,NPE in DebugContentProvider,major
6736,stack frame unavailable running code snippet.,minor
6737,JDIDebugTarget still registered with JavaHCR manager after terminate and remove,major
6738,Fatal error in JDWP,major
6759,Turning filters on/off makes Eclipse unresponsive,major
6834,ClassCastExeption running Eclipse on Linux,major
6990,Display action linked to editor when focus in Display view,major
6991,Hot keys do not work for inspect/display in scrapbook,major
7133,Illegal references to Breakpoints view,minor
7151,Toggling ShowDetailPaneAction sets focus to the launch view,minor
7194,Unbound cache in Expression view content provider,minor
7201,Console does not show output from scrapbook,minor
7298,Drop to frame is always disabled,major
7310,JDI timeout exception in debugger,minor
7804,Internal VMDisconnected trying to delete event requests after VM is gone,minor
7807,Breakpoint creation API should not use java elements,minor
7860,Feature: support suspend/resume of VM,minor
7862,Feature: hidden breakpoints,minor
8337,HotSwap: Two error dialogs redefining class during debug on 1.4,minor
8683,NPE after suspending VM attempting to step on system thread,minor
8746,Threads showing as suspended when not -- multithreaded app,minor
9056,API - suspend on uncaught exception,minor
9057,API - CHANGE event should be better specified,minor
9124,NPE using launch configurations,minor
9166,NPE in preference page,major
9218,NPE in LaunchConfigurationLabelDecorator.isLaunchConfigFile,minor
9241,API - java launch configs should be headless,minor
9280,"Debug event handlers performing runnables after ""dispose""",minor
9290,Feature: dynamic pattern breakpoint,minor
9316,Invalid thread access,minor
9327,JavaDebugOptionsManager startup loading breakpoints during resource changed,major
9353,<Not responding> stack frame after suspending VM,minor
9456,AssertionFailedException attempting to draw overlays for breakpoints,minor
9475,NPE out of LaunchManagerVisitor creating a launch configuration for callback,major
9483,NPE in LaunchConfigurationTypePropertyPage,major
9556,NPE in JavaRuntime.getDefaultVMInstall,major
9591,exception in compiler pref page,major
9649,Can't rebuild all - never returns,major
9660,Launch Config Flicker,minor
9678,Unable to enter & save classpath entry,minor
9680,Launch config: pressing save returns to first tab,minor
9704,NPE on shutdown in BreakpointsVIew,major
9830,Launch config arguments inserted prior to class on command line,minor
10484,Index out of bounds in JavaEnvironmentTab,minor
10595,Debug into non-JavaBuildPath no longer works.,major
10638,Launch configuration wizard not honoring selection,minor
10644,NPE pressing apply button on launch configuration with no name,minor
10645,NPE pressing apply button twice,minor
10775,"New, delete, copy of Launch configurations remain disabled",minor
10780,Delete and Copy enabled for Launch configuration type,minor
10782,Exception applying changes to Launch Configuration,major
10784,Launch configurations: Edit button enabled when no environment var to edit,minor
10805,NPE in JavaDebugOptionsManager if source name is null,minor
10973,Scoping JavaExceptionBreakpoints not working correctly,minor
11031,Double save confirmation on a launch configuration,minor
11034,Launch configurations prompting for save when no changes,minor
11076,Deleted configs remain in favorite list,minor
11161,Resource tree locked,major
11265,Need replacement source locator API,minor
11514,Feature:  support WAS 5.0 JSP debugging,major
12157,Debug event sets,minor
12160,Launch creation/lifecycle,minor
12222,NPE attempting to create Remote Java Application configuration,minor
12339,NPE when i switch to debug perspective,major
12548,Debug event filters should use event sets,minor
12708,NPE in Add Watchpoint,minor
12937,No evaluation imports for binary types with attached source,minor
13173,No console output in Java Persp.,minor
13292,SAXParseExceptions in launch config edit (empty .launch file),minor
13414,Tight loop with conditional breakpoint locks up UI,minor
13525,Error evaluating with no public class,minor
14025,NPE on evaluation of array.length,minor
14045,Deadlock exiting workspace,minor
14069,Rapid stepping & toString,minor
14107,Second target incorrectly breaks on conditional,minor
15102,NPE attempting to launch,major
15741,NPE in JavaRuntime.detectVMConfiguration,minor
15835,Scrap book does not work,minor
16313,NPE out of StandardSourcePathProvider,minor
16838,Over zealous error logging when config has been deleted,minor
16970,ClassCastException out of Launch history preference page,major
17073,Sharing JRE in buildpath - errors when JRE does not exist,minor
17081,IncompatibleThreadStateException attempting to pause remote launch,minor
17534,Two huge bugs in Launch class,major
17890,Should not assume type of PropertyChangeEvent values,major
18296,Debug Hover fix,minor
18650,Scrapbook doesn't launch,major
23568,Ctrl-Space is not working in the Scrapbook,minor
23690,Variable view show old instance,minor
27389,Unable to launch on J9,major
28420,Two dialogs define same image,major
32633,Debug Launch configuration does not expand classpath variables properly,major
38529,UI locks up toggling on the variable filters,major
40673,Detected JRE not set correctly,major
51748,Error while creating scrapbook page (spellcheck?),minor
54664,Cannot run a build.xml from a non-Java project,major
56042,[Coolbar] [Workbench] Toolbar flash selecting stack frames,minor
59990,function keys not working,minor
62932,NPE when renaming project,major
77754,Inefficient loop rendering styled text,major
94111,[assist] provide parameter hints for template instantiations,minor
202470,[assist] provide all elements that are visible,minor
389273,Update EMF base pre-req for Juno SR1 to R201209110500,minor
395030,Disconnect old milestone repos for M6,minor
396229,org.eclipse.sdk.examples bundle has empty plugin.xml and no localization,major
398201,[CBI] Issues with org.eclipse.osgi (3.9?) and org.eclipse.equinox.ip in N builds,major
399038,Update EMF contribution URL to their Juno SR2 version,minor
402693,"[CBI] Our repo is missing ""o.e.jdt.core.compiler.batch""",major
437316,bad md5 value for org.eclipse.platform.doc.isv_4.4.0.v20140604-2138.jar in Luna RC4 repository,minor
19174,change notice.html in root of eclipse installs,major
19432,duplicate swt.jar in fragment root directory,minor
20724,legal files are not accessible,minor
58812,[Perspectives] (regression) Custom perspectives disappear after shutdown/restart,major
335284,OpenFromClipboardTests causes NPEs and test failures,major
340058,Review performance results,minor
18632,NPE populating BasicLauncher tab,minor
133591,[Intro] Circles theme doesn't look right in standby mode,minor
5971,NPE in the nls tool - preview page,minor
6561,Refactoring preview screen all over the srceen,minor
8187,NPE in Self Encapsulate Field,minor
8221,NPE in refactoring preview page (Pull up),minor
17746,Refactor prompted to save same editor twice,major
17859,Missing icon after renaming a type in the Java Browsing perspective,minor
17889,Should not assume type of PropertyChangeEvent values,major
17957,Missing string in Members view,major
19275,editor: context menu slow on large files,major
20127,Exception launching the Eclipse Platform,major
21019,TVT2:  truncated english text in decorators prefs for workbench,minor
119930,"[DataBinding] We always call addPropertyChangeListener(pcl) even when we could/should call addPropertyChangeListener(""propertyName"", pcl)",major
27539,[MPE] [Text Editor] Text editor should not register global actions with the keybinding service,minor
29398,[MPE] Allow bookmarks and tasks in plugin.xml source,minor
43657,[KeyBindings] Delete selection in key entry widget,minor
43801,[KeyBindings] Can't assign Esc Backspace,minor
43804,[KeyBindings] Entering key sequence appends to previous by default,minor
44689,"[KeyBindings] Alt+[A-Z] do not work to change view, editor or perspective",minor
44868,[Workbench] Remove dependencies on Xerces,minor
46589,[KeyBindings] Stop using native accelerators,minor
47046,[KeyBindings] CapsLock == R ???,minor
47093,[KeyBindings] F5 (for refresh) doesn't work in the navigator view when selection a Java project,minor
47414,[KeyBindings] Emacs mode Content-assist key  broken in M5,minor
47964,[KeyBindings] help with multi-stroke keyboard shortcuts pops up unusable window,minor
48083,[KeyBindings] Keyboard accessibility on assistant dialog,minor
48243,[KeyBindings] Keybinding reassignments,minor
48351,[KeyBindings] Resetting to defaults on the keys preference page doesn't set the key configuration,minor
48486,[ActionSets] Key bindings not working when Eclipse first opened,major
48644,[CommandMgmt] Source menu entries disabled,minor
48836,[KeyBindings] Multi-stroke Key help delay must be >= 1,minor
48869,[EditorMgmt] Leak when closing last editor,major
49021,Triple-stroke key bindings don't play nice with key assistant shell,minor
49376,[KeyBindings] Space now erroneously runs Completion,minor
49624,[KeyBindings] Multi-stroke keyboard shortcut help window doesn't go away,major
50244,[CoolBar] regression: Contributions being disposed in editor toolbar,major
52957,[KeyBindings] Keybinding Service consumes keystrokes for unregistered commands,major
53136,[KeyBindings] Ctrl-S ceased working after a while,major
54654,[KeyBindings] Edit in place in the navigator does not support the delete key,minor
55278,[KeyBindings]  Content assist bindings are still in UI plugin,minor
55581,[KeyBindings] pressing Ctrl-F6 again closes editor list,major
55688,[KeyBindings] Delete key doesn't work in single-line Text,major
55737,[KeyBindings] Delete key does not work in dialogs,major
55951,[KeyBindings] Contexts/scopes don't appear in keys preference page,major
56159,[KeyBindings] short cut key for prefs is same as next annotation,minor
56240,Emacs key binding does not work in Java editor,major
56539,[KeyBindings] Can't unbind key on keys preference page,minor
56887,[KeyBindings] StyledText gets key event when pressing Ctrl+O,major
57631,[EditorMgmt] NullPointerException in EditorWorkbook.createControl,major
58213,[EditorMgmt] NullPointerException in EditorPresentation when getTitleToolTip returns null,minor
58901,[Commands] [Javadoc] org.eclipse.ui.commands issues,minor
58910,[Contexts] [Javadoc]  org.eclipse.ui.contexts issues,minor
58915,[Keybindings] [Javadoc] Keybindings issues,minor
58919,[Keybindings] [Javadoc] Locale reference in accelerator set doc incomplete,minor
58927,[Commands] [Javadoc] Issues with Commands extension point,minor
58929,[Contexts] [Javadoc]  org.eclipse.ui.contexts extensio points issues,minor
60063,[KeyBindings] Ctrl+W in emacs mode is also bound to close,minor
60709,[Contributions] [Commands] [Javadoc] API issues at the boundary between actions and commands,minor
60829,[KeyBindings] Key bindings not updated properly in PDE editors,major
60840,[KeyBindings] Delete key does not work in Combo boxes when the Combo box is in a Toolbar,major
60881,[Commands] Ctrl+S does not work,major
61310,"Restore ""scope"" support to the commands extension point",major
62012,[Commands] Commands leaking instances of WorkbenchWindow,minor
62401,[Actions] ReferenceCleanerThread in ActionContributionItem cause application can not exit normally.,minor
63362,[KeyBindings] [ViewMgmt] Key bindings do not work in detached views,major
64024,[Workbench] Many objects leaked for each window opened/closed,major
64956,[KeyBindings] TVT3.0: Error message on console during startup,major
65095,MessageDialogWithToggle returns wrong value for yes_to_all,minor
65716,[Commands] R3.0 RC1 Closing Eclipse exceptions,minor
66182,[KeyBindings] multi-stroke keyboard shortcut popup swallows keys,major
67590,[Presentations] The 'Save All' command has no effect,major
67913,[ActionSets] Actions associated with views not disposed,major
67930,"[Keybindings] Wrong behaviour when triggering Code Assist in ""Rename Field""-Dialog",major
70503,"[Commands] ctrl+c, ctrl+v, ctrl+x accelerators dont work in some scenarios",major
71016,infinitely prompty dialog,major
72585,"[ViewMgmt] Empty variables view, inspect disabled",major
73756,[Commands] ActionContributionItem isvisible should issue warning when action is not visible,minor
73795,[RCP] [KeyBindings] activeKeyConfiguration extension point doesn't work,minor
74982,[Commands] Select All accelerator is available on a Tree control hosted in a TreeViewer but does not send SelectionChanged events,minor
74990,[Contexts] [Commands] EnabledSubmission for activePartId not working,major
77129,[KeyBindings] Esc doesn't close dialogs,major
82802,[Commands] [Contexts] [Contributions] [KeyBindings] performance: Many duplicate strings,minor
82914,[KeyBindings] performance: Too many MissingResourceException from NativeKeyFormatter,minor
84729,[Contexts] events: ContextManagerEvents are no longer fired by the workbench context manager on enablement changes,minor
85700,[ActivityMgmt] Capability preference page missing,major
87020,[KeyBindings] registry: NPE when starting Eclipse 20050301-1230`,major
87419,[Commands] registry: NPE on start-up,major
88552,[Contributions] Can't filter out actions from popup menu that are contributed by other plugins,major
88653,[Commands] performance: 50% of perspective switch in ParameterizedCommand.equals(),major
88656,[Workbench] IWorkbench should not extend the internal IServiceProvider,minor
95217,"[Commands] Remove experimental handlerSubmission element from the ""org.eclipse.ui.commands"" extension point",minor
95222,[KeyBindings] Bindings stop working (no shell activation event),major
95792,"Command opens dialog, and second key press still thinks workbench window is active",major
96497,Manifest files need to be updated with x-friends tag,minor
96600,[DynamicUI] [Commands] [Contexts] [KeyBindings] Commands architecture isn't dynamic,major
99417,[Doc] Some Javadoc missing from ISV Guide,minor
100346,[KeyBindings] registry: 2.1 KeyBinding conversion causes fatal Eclipse crash,major
108709,[Contributions] Every single Java editor is leaked,major
109011,[KeyBindings] AIOOBE on startup,major
109639,[KeyBindings] keybinding service is deactivated but not reactivated when unregister action,major
111415,[G2X] [KeyBindings] interactions: Keys stop working after closing preference page,minor
117314,[Commands] handlers: Failure in testSelectAllHandlerSendsSelectionEvent,major
118078,[Commands] handlers: Debug keybindings not working,major
118414,[WorkingSets] Deadlock on each startup caused by AbstractWorkingSetManager,major
120652,[Commands] handlers: Cannot add evaluations to Display or Expressions View,major
123415,[Commands] handlers: action set handlers stop working when two workbench windows open,major
123442,[Commands] handlers: Retarget action handlers aren't registered properly,major
124104,[Contributions] SubActionBars(IActionBars) was removed and needs to be resurrected,major
126258,[Commands] handlers: Inspect doesn't work,major
126404,[Commands] handlers: Key binding availability dependant on view focus,major
126563,[Contexts] Window context stays active when find/replace dialog open,major
127140,"[Commands] handlers: Ctrl+. and Ctrl+, don't work any more",major
133342,"[Commands] handlers: Global keybindings don't work (Open Type, Search, ...)",major
283216,Editor saving doesn't work when editor is reopened,major
1584,Renaming Scrapbook page does not remove associated VM (1GE5TZY),major
1623,StackFrame selected but toolbar actions disable (1GEV0L7),minor
1648,"Inspect, Display, and Run to line, are enabled in all editors (1GFBIAG)",minor
1718,Concurrent modification in JDI cache (1GK7HTK),minor
1766,Text too low in change variable value text box (1GLE8CB),major
1769,Hit count watchpoints not always re-enabled (1GLE911),minor
3940,Keep getting Locate Source dialog (1GF6BU2),minor
4023,Prompt user for save and build before run  (1GGCBO0),major
4130,Eclipse Debugger: Setting Breakpoints via keyboard not possilbe (1GITILH),minor
4954,Evaluation does not update variable view,minor
5142,Internal Error on relaunch,minor
5144,Error when opening display view,minor
5415,Plugin Name in Plugin Registery is wrong,minor
5587,Step Over jumps to caller,minor
5627,NPE setting detail pane orientation,minor
5715,Problems using scrapbook,major
